Unselbstst„ndiges Einkommen nach Bezirk und Geschlecht ab 2002;;;;;;;;;;;;;;;
Income from dependent employment by district and sex since 2002;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE;
AT1;AT13;AT130;90901;0000;632466925;370620062;261846863;21702;25390;18147;33347;37527;28556;20081231;
AT1;AT13;AT130;91001;0000;2013151157;1210815085;802336073;17891;19717;15777;24814;26454;22463;20081231;
AT1;AT13;AT130;91101;0000;1099174922;666296065;432878857;18387;20534;15932;24709;26367;22262;20081231;
AT1;AT13;AT130;91201;0000;1060917227;628456773;432460453;18312;20190;16209;26052;27826;23625;20081231;
AT1;AT13;AT130;91301;0000;882521206;553535386;328985820;27141;33790;20709;37714;44124;29616;20081231;
AT1;AT13;AT130;91401;0000;1201103532;707949324;493154207;21424;24470;18306;29612;32454;25930;20081231;
AT1;AT13;AT130;91501;0000;780521905;455477895;325044010;16157;17383;14754;23897;25119;22223;20081231;
AT1;AT13;AT130;91601;0000;1147531610;670585234;476946376;18027;19657;16213;25941;27618;23704;20081231;
AT1;AT13;AT130;91701;0000;699153723;419506750;279646972;19463;21954;16748;28867;31916;24926;20081231;
AT1;AT13;AT130;91801;0000;770960480;470251392;300709088;23592;28593;18763;34877;40039;28509;20081231;
AT1;AT13;AT130;91901;0000;1058217328;672473083;385744245;25329;31232;19349;36877;43130;28821;20081231;
AT1;AT13;AT130;92001;0000;891045632;526085621;364960011;17035;18418;15427;24459;25816;22584;20081231;
AT1;AT13;AT130;92101;0000;1826918707;1093357366;733561341;19578;22173;16789;26552;28721;23488;20081231;
AT1;AT13;AT130;92201;0000;2273130160;1381015257;892114903;21222;24632;17636;27986;30563;24281;20081231;
AT1;AT13;AT130;92301;0000;1405102862;860494642;544608220;22899;27182;18542;30505;34218;25464;20081231;
AT1;AT13;AT130;90101;0000;330627648;222163769;108463879;31095;40019;21791;44693;54225;33510;20071231;
AT1;AT13;AT130;90201;0000;1065620932;638476150;427144782;18008;19917;15832;26223;28308;23458;20071231;
AT1;AT13;AT130;90301;0000;1176856127;699317756;477538371;20908;23979;17742;29890;33294;25762;20071231;
AT1;AT13;AT130;90401;0000;475336718;283351884;191984834;23221;27092;19340;33640;37938;28617;20071231;
